name,type,location,phone,services
Bradshaw Plumbers,plumber,"187 Sir Lowry Rd, Woodstock, Cape Town, 7915, South Africa",0810000000,plumber
Ray and Sons Plumbers (Pty) Ltd-Capetown,plumber,"37 Morningside St, Pinelands, Cape Town, 7405, South Africa",071 815 9118,plumber
The Drain Surgeon Cape Town Central and Atlantic Seaboard,plumber,"16 Keerom St, Cape Town City Centre, Cape Town, 8000, South Africa",086 175 8623,plumber
Plumbing It Fine,plumber,"67 Regent Rd, Sea Point, Cape Town, 8005, South Africa",060 464 7501,plumber
RS Plumbing Services,plumber,"Edgemead, Cape Town, 7442, South Africa",076 840 7889,plumber
Absolute Plumbing Cape Town,plumber,"Unit 8, Chrystal business park, 76 White, Diep River, Cape Town, 7965, South Africa",084 872 2758,plumber
Combat Plumbing,plumber,"Shop 3, 268 Main road, 25 Silverwater St, Kirstenhof, Cape Town, 7801, South Africa",073 158 8460,plumber
Vital Plumbing,plumber,"Unit 1.4, 1st Floor, 33 Martin Hammerschlag Way, Foreshore, Cape Town, 8001, South Africa",083 474 2742,plumber
H2Flow Plumbing & Gas,plumber,"61 Dorp St, Cape Town, 8001, South Africa",078 448 0624,plumber
Plum Plumbers,plumber,"71 Lower Wrensch Rd, Observatory, Cape Town, 7925, South Africa",082 555 2868,plumber
Amazing Plumbing & Maintenance,plumber,"city center, 54 Shortmarket St, Cape Town City Centre, Cape Town, 8000, South Africa",060 224 8837,plumber
Plumbing Ways and Contractors,plumber,"111 Belvedere Rd, Claremont, Cape Town, 7708, South Africa",021 671 2012,plumber
Max Plumbers,plumber,"150 Essendene Rd, Sydenham, Durban, 7493, South Africa",082 786 0046,plumber
Plumbers - Cape Town,plumber,"63 Totnes Rd, Plumstead, Cape Town, 7800, South Africa",021 300 7899,plumber
Jaf Plumbers and Renovations,plumber,"Gardens, Cape Town, 8000, South Africa",073 138 7158,plumber
Bob the Plumber,plumber,"2 Wesley St, Gardens, Cape Town, 8001, South Africa",076 267 5523,plumber
Woodstock Plumbers,plumber,"1 Essex St, Woodstock, Cape Town, 7925, South Africa",081 799 2233,plumber
John The Plumber Pty Ltd,plumber,"3 Windsor Weg Rd, Plumstead, Cape Town, 7801, South Africa",078 118 9646,plumber
PJ Plumbing and Electrical,plumber,"233 Main Rd, Sea Point, Cape Town, 8005, South Africa",082 851 3066,plumber
Schmidhauser Electrical,plumber,"Seafarer Circle Port of, Paarden Eiland, Cape Town, 7420, South Africa",021 424 4588,plumber
Pampered Paws Sea Point,pet groomer,"160 Main Rd, Sea Point, Cape Town, 8060, South Africa",021 434 4441,pet groomer
Jeni's Pet Parlour,pet groomer,"Wilkinson St, Newlands, Cape Town, 7700, South Africa",021 685 2982,pet groomer
Just Groom it - Pet Grooming service,pet groomer,"37 Racecourse Rd, Milnerton, Cape Town, 7441, South Africa",081 460 0041,pet groomer
"The Fluffia Pet Grooming Specialists for Dogs & Cats, Cape Town",pet groomer,"45 Main St, Newlands, Cape Town, 7700, South Africa",021 671 3589,pet groomer
Lovely pets grooming parlour & Mobile services,pet groomer,"434 Koeberg Rd, Milnerton, Cape Town, 7441, South Africa",073 335 4439,pet groomer
SUPERWOOF Dog Hotel & Daycare | Foreshore,pet groomer,"128 Russell St, Foreshore, Cape Town, 8001, South Africa",082 557 7550,pet groomer
Fab-U Pet Grooming,pet groomer,"Silwood Centre, 59 Campground Rd, Rondebosch, Cape Town, 7700, South Africa",067 110 0779,pet groomer
Pampered Paws Claremont,pet groomer,"20 Imam Haron Rd, Claremont, Cape Town, 7708, South Africa",021 012 5810,pet groomer
