name,type,location,phone,services
The Drain Surgeon Cape Town Central and Atlantic Seaboard,plumber,"16 Keerom St, Cape Town City Centre, Cape Town, 8000, South Africa",086 175 8623,plumber
Absolute Plumbing Cape Town,plumber,"Unit 8, Chrystal business park, 76 White, Diep River, Cape Town, 7965, South Africa",084 872 2758,plumber
RS Plumbing Services,plumber,"Edgemead, Cape Town, 7442, South Africa",076 840 7889,plumber
Combat Plumbing,plumber,"Shop 3, 268 Main road, 25 Silverwater St, Kirstenhof, Cape Town, 7801, South Africa",073 158 8460,plumber
Ray and Sons Plumbers (Pty) Ltd-Capetown,plumber,"37 Morningside St, Pinelands, Cape Town, 7405, South Africa",071 815 9118,plumber
H2Flow Plumbing & Gas,plumber,"61 Dorp St, Cape Town, 8001, South Africa",078 448 0624,plumber
Flush and Rush,plumber,"Unit 63, The Old Timber Yard, 7th Ave, Maitland, Cape Town, 7405, South Africa",021 300 8899,plumber
Vital Plumbing,plumber,"Unit 1.4, 1st Floor, 33 Martin Hammerschlag Way, Foreshore, Cape Town, 8001, South Africa",083 474 2742,plumber
Plum Plumbers,plumber,"71 Lower Wrensch Rd, Observatory, Cape Town, 7925, South Africa",082 555 2868,plumber
Amazing Plumbing & Maintenance,plumber,"city center, 54 Shortmarket St, Cape Town City Centre, Cape Town, 8000, South Africa",060 224 8837,plumber
Bob the Plumber,plumber,"2 Wesley St, Gardens, Cape Town, 8001, South Africa",076 267 5523,plumber
Max Plumbers,plumber,"150 Essendene Rd, Sydenham, Durban, 7493, South Africa",069 179 4345,plumber
Plumbing Ways and Contractors,plumber,"111 Belvedere Rd, Claremont, Cape Town, 7708, South Africa",021 671 2012,plumber
Plumbers - Cape Town,plumber,"63 Totnes Rd, Plumstead, Cape Town, 7800, South Africa",021 300 7899,plumber
02 plumbing,plumber,"cnr chepstowe and, Iona St, Tijgerhof, Cape Town, 7441, South Africa",079 732 0984,plumber
Divine Touch Plumbing and Drain Cleaning,plumber,"44, Nirvana, 6 Chelsea Cres, Parklands, Cape Town, 7441, South Africa",071 841 2687,plumber
John The Plumber Pty Ltd,plumber,"3 Windsor Weg Rd, Plumstead, Cape Town, 7801, South Africa",078 118 9646,plumber
Jaf Plumbers and Renovations,plumber,"Gardens, Cape Town, 8000, South Africa",073 138 7158,plumber
Woodstock Plumbers,plumber,"1 Essex St, Woodstock, Cape Town, 7925, South Africa",081 799 2233,plumber
Pampered Paws Sea Point,pet groomer,"160 Main Rd, Sea Point, Cape Town, 8060, South Africa",021 434 4441,pet groomer
Jeni's Pet Parlour,pet groomer,"Wilkinson St, Newlands, Cape Town, 7700, South Africa",021 685 2982,pet groomer
Just Groom it - Pet Grooming service,pet groomer,"37 Racecourse Rd, Milnerton, Cape Town, 7441, South Africa",081 460 0041,pet groomer
"The Fluffia Pet Grooming Specialists for Dogs & Cats, Cape Town",pet groomer,"45 Main St, Newlands, Cape Town, 7700, South Africa",021 671 3589,pet groomer
Lovely pets grooming parlour & Mobile services,pet groomer,"434 Koeberg Rd, Milnerton, Cape Town, 7441, South Africa",073 335 4439,pet groomer
Tip Top Dog Groomers - Gardens,pet groomer,"17 Aandbloem St, Gardens, Cape Town, 8001, South Africa",072 212 9448,pet groomer
Pampered Paws Claremont,pet groomer,"20 Imam Haron Rd, Claremont, Cape Town, 7708, South Africa",021 012 5810,pet groomer
Fab-U Pet Grooming,pet groomer,"Silwood Centre, 59 Campground Rd, Rondebosch, Cape Town, 7700, South Africa",067 110 0779,pet groomer
Loving Care Doggie Boutique,pet groomer,"M E Rothman St, Parow North, Parow, 7500, South Africa",021 939 1443,pet groomer
The Dog Box,pet groomer,"Jessica Court, 21 Hall Rd, Sea Point, Cape Town, 8005, South Africa",021 439 4490,pet groomer
Absolute Pets Pet Spa,pet groomer,"Shop #40, Mill St, Gardens, Cape Town, 8001, South Africa",021 461 4333,pet groomer
atFrits Dog Hotel & Daycare Centre,pet groomer,"117 Castle St, Cape Town City Centre, Cape Town, 8000, South Africa",021 200 4244,pet groomer
The Pet Parlour,pet groomer,"ERF4152 Vans Rd, Dreyersdal, Cape Town, 7945, South Africa",060 898 6956,pet groomer
Parlor Dog,pet groomer,"84 1st Ave, Claremont, Cape Town, 7708, South Africa",082 098 8331,pet groomer
Ruff Diamonds Dog Grooming,pet groomer,"149 Raats Dr, Parklands, Cape Town, 7441, South Africa",063 641 2231,pet groomer
Happy Hounds,pet groomer,"131 Sir Lowry Rd, Foreshore, Cape Town, 8001, South Africa",064 874 5244,pet groomer
The Pet Groomers,pet groomer,"Shop 4, C/O Robyn and, Ridge Rd, Kraaifontein, Cape Town, 7570, South Africa",079 515 4745,pet groomer
Tip Top Dog & Cat Groomers,pet groomer,"4917 Valley Rd, Hout Bay, Cape Town, 7806, South Africa",021 790 7436,pet groomer
Petworld Express Sea Point,pet groomer,"Main Rd Shop 10, Artem Shopping Centre, Sea Point, Cape Town, 8005, South Africa",021 433 0439,pet groomer
Groomers Dog Parlour,pet groomer,"Shop 2A, Prospur Centre, Basil Rd, Plumstead, Cape Town, 7800, South Africa",021 797 0219,pet groomer
Accountability Professional Accountants Pty Ltd,accountant,"703, Touchstone House, 7 Bree St, Foreshore, Cape Town, 8000, South Africa",021 462 7537,accountant
MMS Cloud Accounting Cape Town,accountant,"50 Long St, Cape Town City Centre, Cape Town, 8001, South Africa",021 003 8150,accountant
SMTAX,accountant,"12 Oxbow Cres, Century City, Cape Town, 7442, South Africa",021 201 1398,accountant
Thryv Accountants (Pty) Ltd,accountant,"Dock Rd Junction Cnr Dock Road, Stanley St, Victoria & Alfred Waterfront, Cape Town, 8001, South Africa",073 142 1010,accountant
Govchain,accountant,"50 Long St, Cape Town City Centre, Cape Town, 8000, South Africa",,accountant
Accounting Advisory Pty Ltd Cape Town,accountant,"Stanley &, Dock Rd, Cape Town City Centre, Cape Town, 8001, South Africa",021 403 6300,accountant
